time,gt_x,gt_y,gt_theta,ekf_x,ekf_y,ekf_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,gps_x,gps_y,imu_theta
0.382,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.02009980,0.02009980,0.00047673,0.028844,-0.006062,-0.000000
0.385,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.02009975,0.02009975,0.00032291,0.028844,-0.006062,-0.000000
0.387,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.02009975,0.02009975,0.00024409,0.028844,-0.006062,-0.000000
0.406,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.02009980,0.02009980,0.00032283,0.028844,-0.006062,-0.000000
0.422,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.02009980,0.02009980,0.00024404,0.028844,-0.006062,-0.000000
0.425,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.02009975,0.02009975,0.00019620,0.028844,-0.006062,-0.000000
0.442,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.03009980,0.03009980,0.00091106,0.028844,-0.006062,-0.000000
0.449,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.03009975,0.03009975,0.00091068,0.028844,-0.006062,-0.000000
0.458,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.03009980,0.03009980,0.00047673,0.028844,-0.006062,-0.000000
0.464,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.03009975,0.03009975,0.00047663,0.028844,-0.006062,-0.000000
0.468,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.03009980,0.03009980,0.00032283,0.028844,-0.006062,-0.000000
0.469,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.03009975,0.03009975,0.00032278,0.028844,-0.006062,-0.000000
0.492,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.03009975,0.03009975,0.00024402,0.028844,-0.006062,-0.000000
0.497,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.03009980,0.03009980,0.00024404,0.028844,-0.006062,-0.000000
0.508,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.04009980,0.04009980,0.00091106,0.028844,-0.006062,-0.000000
0.524,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.04009975,0.04009975,0.00091106,0.028844,-0.006062,-0.000000
0.537,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.04009975,0.04009975,0.00047673,0.028844,-0.006062,-0.000000
