time,gt_x,gt_y,gt_theta,ekf_x,ekf_y,ekf_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,gps_x,gps_y,imu_theta
0.877,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.42055962,0.42055962,0.00238613,0.364629,-0.448677,-0.000000
0.892,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.52055962,0.52055962,0.00839708,0.364629,-0.448677,-0.000000
0.897,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.52055962,0.52055962,0.00456435,0.364629,-0.448677,-0.000000
0.909,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.52055962,0.52055962,0.00313392,0.364629,-0.448677,-0.000000
0.923,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.52055962,0.52055962,0.00238613,0.364629,-0.448677,-0.000000
0.938,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.62055962,0.62055962,0.00839708,0.364629,-0.448677,-0.000000
0.944,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.62055962,0.62055962,0.00456435,0.364629,-0.448677,-0.000000
0.960,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.62055962,0.62055962,0.00313392,0.364629,-0.448677,-0.000000
0.962,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.62055962,0.62055962,0.00238613,0.364629,-0.448677,-0.000000
0.969,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.72055962,0.72055962,0.00839708,0.364629,-0.448677,-0.000000
0.985,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.72055962,0.72055962,0.00456435,0.364629,-0.448677,-0.000000
1.000,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.72055962,0.72055962,0.00313392,0.364629,-0.448677,-0.000000
1.003,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.72055962,0.72055962,0.00238613,0.364629,-0.448677,-0.000000
1.025,0.000000,-0.000000,-0.000000,0.232086,0.343329,-0.000000,0.31068632,0.31068632,0.05238613,0.364629,-0.448677,-0.000000
1.028,0.000000,-0.000000,-0.000000,0.232086,0.343329,-0.000000,0.31068632,0.31068632,0.00839708,1.167185,-0.740710,-0.000000
1.029,0.000000,-0.000000,-0.000000,0.232086,0.343329,-0.000000,0.31068632,0.31068632,0.00456435,1.167185,-0.740710,-0.000000
1.032,0.000000,-0.000000,-0.000000,0.232086,0.343329,-0.000000,0.31068632,0.31068632,0.00313392,1.167185,-0.740710,-0.000000
1.040,0.000000,-0.000000,-0.000000,0.135603,-0.130527,-0.000000,0.04009980,0.04009980,0.00047673,1.167185,-0.740710,-0.000000
1.042,0.000000,-0.000000,-0.000000,0.135603,-0.130527,-0.000000,0.04009980,0.04009980,0.00032283,1.167185,-0.740710,-0.000000
1.043,0.000000,-0.000000,-0.000000,0.135603,-0.130527,-0.000000,0.04009980,0.04009980,0.00024404,1.167185,-0.740710,-0.000000
1.044,0.000000,-0.000000,-0.000000,0.135603,-0.130527,-0.000000,0.05009980,0.05009980,0.00091106,1.167185,-0.740710,-0.000000
1.044,0.000000,-0.000000,-0.000000,0.135603,-0.130527,-0.000000,0.05009980,0.05009980,0.00047673,1.167185,-0.740710,-0.000000
1.045,0.000000,-0.000000,-0.000000,0.135603,-0.130527,-0.000000,0.05009980,0.05009980,0.00032283,1.167185,-0.740710,-0.000000
1.046,0.000000,-0.000000,-0.000000,0.937872,-0.421734,-0.000000,0.00009980,0.00009980,0.00032283,1.167185,-0.740710,-0.000000
1.047,0.000000,-0.000000,-0.000000,0.937872,-0.421734,-0.000000,0.00009980,0.00009980,0.00024404,1.167185,-0.740710,-0.000000
1.047,0.000000,-0.000000,-0.000000,0.937872,-0.421734,-0.000000,0.01009980,0.01009980,0.00091106,1.167185,-0.740710,-0.000000
1.048,0.000000,-0.000000,-0.000000,0.937872,-0.421734,-0.000000,0.01009980,0.01009980,0.00047673,1.167185,-0.740710,-0.000000
1.049,0.000000,-0.000000,-0.000000,0.937872,-0.421734,-0.000000,0.01009980,0.01009980,0.00032283,1.167185,-0.740710,-0.000000
1.051,0.000000,-0.000000,-0.000000,0.232086,0.343329,-0.000000,0.31068632,0.31068632,0.00238613,1.167185,-0.740710,-0.000000
1.054,0.000000,-0.000000,-0.000000,0.232086,0.343329,-0.000000,0.41068632,0.41068632,0.00839708,1.167185,-0.740710,-0.000000
1.055,0.000000,-0.000000,-0.000000,0.937872,-0.421734,-0.000000,0.01009980,0.01009980,0.00024404,1.167185,-0.740710,-0.000000
1.065,0.000000,-0.000000,-0.000000,0.232086,0.343329,-0.000000,0.41068632,0.41068632,0.00456435,1.167185,-0.740710,-0.000000
1.066,0.000000,-0.000000,-0.000000,0.937872,-0.421734,-0.000000,0.02009980,0.02009980,0.00091106,1.167185,-0.740710,-0.000000
1.072,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.02009980,0.02009980,0.00047673,1.167185,-0.740710,-0.000000
1.072,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.41068632,0.41068632,0.00313392,1.167185,-0.740710,-0.000000
1.086,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.41068632,0.41068632,0.00238613,1.167185,-0.740710,-0.000000
1.087,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.02009980,0.02009980,0.00032283,1.167185,-0.740710,-0.000000
1.092,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.02009980,0.02009980,0.00024404,1.167185,-0.740710,-0.000000
1.094,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.51068632,0.51068632,0.00839708,1.167185,-0.740710,-0.000000
1.107,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.51068632,0.51068632,0.00456435,1.167185,-0.740710,-0.000000
1.108,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.03009980,0.03009980,0.00091106,1.167185,-0.740710,-0.000000
1.109,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.03009980,0.03009980,0.00047673,1.167185,-0.740710,-0.000000
1.110,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.51068632,0.51068632,0.00313392,1.167185,-0.740710,-0.000000
1.126,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.03009980,0.03009980,0.00032283,1.167185,-0.740710,-0.000000
1.126,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.51068632,0.51068632,0.00238613,1.167185,-0.740710,-0.000000
1.128,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.03009980,0.03009980,0.00024404,1.167185,-0.740710,-0.000000
1.129,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.61068632,0.61068632,0.00839708,1.167185,-0.740710,-0.000000
1.134,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.04009980,0.04009980,0.00091106,1.167185,-0.740710,-0.000000
1.140,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.61068632,0.61068632,0.00456435,1.167185,-0.740710,-0.000000
1.146,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.61068632,0.61068632,0.00313392,1.167185,-0.740710,-0.000000
1.147,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.04009980,0.04009980,0.00047673,1.167185,-0.740710,-0.000000
1.159,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.61068632,0.61068632,0.00238613,1.167185,-0.740710,-0.000000
1.160,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.04009980,0.04009980,0.00032283,1.167185,-0.740710,-0.000000
1.171,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.04009980,0.04009980,0.00024404,1.167185,-0.740710,-0.000000
1.174,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.71068632,0.71068632,0.00839708,1.167185,-0.740710,-0.000000
1.178,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.71068632,0.71068632,0.00456435,1.167185,-0.740710,-0.000000
1.179,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.05009980,0.05009980,0.00091106,1.167185,-0.740710,-0.000000
1.189,-0.000000,0.000000,0.000000,0.937872,-0.421734,-0.000000,0.05009980,0.05009980,0.00047673,1.167185,-0.740710,-0.000000
1.192,-0.000000,0.000000,0.000000,0.232086,0.343329,-0.000000,0.71068632,0.71068632,0.00313392,1.167185,-0.740710,-0.000000
